,name,artists:name,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
27,Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,247426,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
28,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",spotify:track:4YMqbFcDIFiCBd02PzUBcM,235613,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,4
29,Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",spotify:track:5YPMEOJ58kfl56VHxTgwx3,201000,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,4
30,Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,245466,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,4
31,I Cry,Flo Rida,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,223800,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,4
32,Counting Stars,OneRepublic,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,257386,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,4
33,Gangnam Style (강남스타일),PSY,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,219493,0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077,4
34,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",spotify:track:4yOn1TEcfsKHUJCL2h1r8I,229506,0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958,4
35,Capsize,"FRENSHIP, Emily Warren",spotify:track:3GBlLqIYgB8zWaeWDNJzdh,237760,0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,4
36,Magical,"Tungevaag, Raaban",spotify:track:43lwHSTEexXRVVeXZtAtfi,218539,0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983,4
37,Bleeding Love,Leona Lewis,spotify:track:6LtPIXlIzPOTF8vTecYjRe,262693,0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058,4
38,Drop That Low (When I Dip),Tujamo,spotify:track:48kF7W23OIcVBsNY5UesuQ,159999,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,4
39,Perfect Strangers,"Jonas Blue, JP Cooper",spotify:track:1CUVN2kn7mW5FjkqXTR2W1,196613,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,4
40,Thinking About You,Axwell /\ Ingrosso,spotify:track:3eBwnjEe60kDJAMlFg1ewf,204590,0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001,4
41,Please Don't Go,Joel Adams,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,210580,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,4
42,Lions in the Wild,"Martin Garrix, Third Party",spotify:track:6F1kPSgdnlSzZRfskE9vaV,211889,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,4
43,Never Be Like You,"Flume, kai",spotify:track:12REd1n8PeiHHWOh066tpr,233337,0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247,4
44,Treat You Better,Shawn Mendes,spotify:track:53B2XmmjJ9rriW1qciMBeX,187973,0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823,4
45,Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4
46,Send My Love (To Your New Lover),Adele,spotify:track:3KZcrZ36LW9RnChK1iIkth,223078,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,4
47,When We Were Young,Adele,spotify:track:0cj2joJcY6b4XSRfj2eZOl,290900,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,4
48,Someone Like You,Adele,spotify:track:6QPKYGnAW9QozVz2dSWqRg,285240,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,4
49,Set Fire to the Rain,Adele,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,242973,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,4
50,Apologize,OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG,208106,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,4
51,Onnelliseksi,Juju,spotify:track:6hvNLxrHBdR1qzdrKasCPE,213013,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,4
52,I See Fire,Ed Sheeran,spotify:track:5pY3ovFxbvAg7reGZjJQSp,299146,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,4
53,Chasing Cars,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ,267933,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,4
54,Say Something,"A Great Big World, Christina Aguilera",spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
55,Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",spotify:track:2QJnTfMpNG05KFf2E3gVIJ,232772,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,4
56,Läikkyy,Arttu Lindeman,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,206200,0.669,0.846,4,-3.976,0,0.156,0.15,0.0,0.154,0.793,150.014,4
57,1972,Anssi Kela,spotify:track:4htrHrq1AB38vprDEha0hv,249560,0.542,0.644,3,-6.196,1,0.0961,0.0219,0.0,0.138,0.545,153.972,4
58,Toxic,Britney Spears,spotify:track:26nr9XnFCYWxBTIP7HyWXg,198813,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,4
59,Älä herätä mua unesta,Mikael Gabriel,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,204573,0.656,0.675,1,-7.455,1,0.0457,0.119,0.0,0.0925,0.353,126.889,4
60,Spaceman,Aste,spotify:track:3PfG2rMOU9HglycfbIC4yM,197453,0.737,0.95,6,-2.522,0,0.0611,0.017,0.0,0.233,0.968,127.0,4
61,Only One,Aste,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,240280,0.578,0.839,2,-3.806,1,0.0755,0.000649,0.0,0.0708,0.509,121.995,4
62,Come & Get It,Selena Gomez,spotify:track:5U2m76qAMdr3gXI0g6ptlG,231986,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,1
63,Wherever I Go,OneRepublic,spotify:track:7kUtJKGZzLNgIkq1Galkt0,170213,0.543,0.691,10,-6.403,0,0.0425,0.107,0.0,0.218,0.335,100.014,4
64,Heatwave (feat. Akon),"Robin Schulz, Akon",spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,187126,0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,4
65,Hubba Bubba,"Teflon Brothers, Ressu Redford, Heavyweight",spotify:track:2hQVEDz4hG8RGmzSPKTDrT,207394,0.68,0.847,11,-6.439,1,0.0353,0.000755,0.0,0.159,0.792,136.039,4
66,I'm In Control,"AlunaGeorge, Popcaan",spotify:track:16NOHRm0OEjmg55OZAxVmV,209425,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,4
67,Arcade - Radio Edit,"Dimitri Vegas & Like Mike, W&W",spotify:track:7FKjWBgGgCGYoRRDIhp4bR,225000,0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,4
68,She Doesn't Mind,Sean Paul,spotify:track:4odiyU3myG29Ld0wurMfE8,227786,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4
69,Satellites - Radio Edit,"Bobby Burns, Hannah Robinson",spotify:track:3peFUAm5l0kWIJXy7Q8GYP,232518,0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,4
70,Calling (Lose My Mind) - Radio Edit,"Sebastian Ingrosso, Alesso, Ryan Tedder",spotify:track:34NNeV9jfgNgaALgUr0u9V,205440,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,4
71,I Just Had Sex,"The Lonely Island, Akon",spotify:track:1OmxpKVSvn0LGcM3SQS4OV,168200,0.621,0.802,6,-4.735,1,0.118,0.0235,0.0,0.108,0.819,167.976,4
72,Angels Unite (Radio Edit),Scarlet,spotify:track:3UFoVEy7B2yqUMB21yyJm2,216566,0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,4
73,Gypsy Drop - Radio Edit,"Filip Jenven, Jonas Vogel",spotify:track:11xsm79HwpWV1C1lMXoVo9,180502,0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,4
74,Bigroom Blitz - Radio Mix,"Scooter, Wiz Khalifa",spotify:track:1Xcww2gldd5hN6WvGBsbFT,187272,0.713,0.909,3,-4.274,1,0.0306,0.00303,0.000706,0.699,0.438,132.022,4
75,Satisfied (feat. VASSY) - Original Mix,"Showtek, VASSY",spotify:track:6LU68pNqUguPOsjPIaJwo6,258742,0.611,0.941,0,-1.958,1,0.0491,0.00326,0.0205,0.345,0.589,128.002,4
76,Gold Skies - Original Mix,"Sander van Doorn, Martin Garrix, DVBBS, Aleesia",spotify:track:4zXQSm5XIkcn5qtmtbwO9O,329067,0.564,0.823,9,-6.316,0,0.046,0.00406,0.0716,0.684,0.221,128.018,4
77,Love Louder - Style Of Eye Remix,"John Martin, Style of Eye",spotify:track:2WEiz65hkQPlThgncVH34T,373649,0.56,0.854,1,-4.878,1,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,4
78,Forbidden Voices,Martin Garrix,spotify:track:2BF1X5nkYYSb0AUTRaGkDm,230634,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,4
79,Salsa Tequila,Anders Nilsen,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,199804,0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966,4
80,All I Ever Wanted - Radio Edit,Basshunter,spotify:track:3uoqlATyV5IWOhy0LBF7k1,176453,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
81,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",spotify:track:4iMu9le3ytNO3tvgVpQANx,210093,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4
82,Trumpsta (Djuro Remix) [feat. Treyy G],"Contiez, Treyy G, Djuro",spotify:track:3YcXXjmC9cM5Y2x3jUps0p,258507,0.973,0.587,1,-7.014,1,0.242,0.00207,0.38,0.257,0.195,128.0,4
83,Moonlight Shadow,ItaloBrothers,spotify:track:6T9vhWadqtG3J3jfYf8kcI,186880,0.577,0.952,0,-5.172,1,0.0404,0.0529,0.00603,0.31,0.808,150.02,4
84,Colours Of The Rainbow,"ItaloBrothers, Tune Up!",spotify:track:4fWcyB6ik13xv6QFmORi0H,210240,0.616,0.946,0,-6.392,0,0.059,0.00341,0.000188,0.168,0.744,140.045,4
85,Honey,"Evelina, Mikael Gabriel",spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ,221633,0.68,0.633,3,-5.236,0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,4
86,Pämppää,"Teflon Brothers, Sahamies",spotify:track:6xQjgKUjjKgLDfOibSRyRM,191990,0.8,0.887,9,-5.038,1,0.0632,0.113,0.0,0.154,0.526,109.988,4
87,Viva La Vida,Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b,242373,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
88,If I Lose Myself,OneRepublic,spotify:track:0ett0qCHbl0vdSRFhRSkMc,241560,0.485,0.699,2,-6.017,1,0.0479,0.096,0.0,0.109,0.242,140.096,4
89,In2,WSTRN,spotify:track:3WEmAizxrtQwXEJQRwCrK1,242121,0.553,0.662,8,-6.454,0,0.129,0.342,0.0,0.141,0.561,98.368,4
90,Somebody to Die For,Hurts,spotify:track:0GDz2tPdh6FbxJxM75SQB4,275546,0.426,0.599,11,-7.737,1,0.0282,0.0198,0.00142,0.366,0.102,91.995,4
91,Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",spotify:track:1domCrjxwdTsPWqVn2Ivc0,222413,0.66,0.936,11,-3.931,1,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,4
92,Don't Hold Your Breath,Nicole Scherzinger,spotify:track:7pAq1IXYZpL42HchCminu6,197440,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955,4
93,When I Grow Up,The Pussycat Dolls,spotify:track:7hFXQCDPgHhZQrC3vSM1o4,245680,0.686,0.681,11,-5.761,0,0.0471,0.00185,0.0,0.395,0.366,118.472,4
94,I Gotta Feeling,Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,289133,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4
95,Halo,Beyoncé,spotify:track:4JehYebiI9JE8sR8MisGVb,261640,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4
96,Cry Me a River,Justin Timberlake,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,288333,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,4
97,"You're Gonna Go Far, Kid",The Offspring,spotify:track:1FMm3wG5WOhi7js35KR7Ea,177826,0.55,0.918,9,-3.159,0,0.0682,0.00466,0.0,0.206,0.563,126.083,4
98,So What,P!nk,spotify:track:6qYGUxPjQt5PJtWdiNppZx,215160,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,4
99,"Whenever, Wherever",Shakira,spotify:track:0RJWhctsc1G1Hg3Ov2th7x,197026,0.793,0.831,1,-4.861,0,0.0405,0.264,7.03e-06,0.207,0.865,107.645,4
100,Bleeding Love,Leona Lewis,spotify:track:7wZUrN8oemZfsEd1CGkbXE,262466,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,4
101,Milkshake,Kelis,spotify:track:2cMTIlktg3M9mXYqCPqw1J,182626,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,4
102,Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:35a4Kzyo9XY4FI9FaSIzzF,221920,0.555,0.923,0,-5.908,1,0.0482,0.0411,0.0,0.112,0.682,116.012,4
103,Say OK,Vanessa Hudgens,spotify:track:5cfPxiul0cdhPYD2uzuQSg,223866,0.471,0.696,7,-7.176,1,0.0468,0.00673,0.000955,0.0884,0.543,125.026,3
104,Lovesick,Emily Osment,spotify:track:2w55BLEMG97Smym2V6itnx,204813,0.611,0.715,0,-5.621,0,0.0604,0.00414,0.0,0.353,0.784,129.88,3
105,Wherever I Go,Hannah Montana,spotify:track:3lWEKwBNo9IbE9pdKC5NU6,212853,0.538,0.621,5,-3.358,1,0.027,0.0383,0.0,0.0976,0.372,79.024,4
106,I'll Always Remember You,Hannah Montana,spotify:track:0tldYKX9sQsDs41lJxdcp8,233466,0.418,0.721,8,-2.736,1,0.0385,0.0485,0.0,0.0986,0.234,144.06,4
107,A Year Without Rain,Selena Gomez & The Scene,spotify:track:0lYS1tJg3r6ATe9bRPB0Hu,234346,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,4
108,Beauty And A Beat,"Justin Bieber, Nicki Minaj",spotify:track:0KTsmr6JOuhxZuiXUha1xC,227986,0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97,4
109,International Love (feat. Chris Brown),"Pitbull, Chris Brown",spotify:track:62zFEHfAYl5kdHYOivj4BC,227280,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,4
110,Clouds (feat. A.J. McLean),"Redrama, AJ McLean",spotify:track:1RK5DiXAYnRZk1fEjnytdp,232013,0.772,0.851,7,-4.343,1,0.09,0.0149,0.0,0.136,0.27,91.034,4
111,Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",spotify:track:6T27IN7Ai94BeDv6PPCmoC,199680,0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,4
112,Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,"Snoop Dogg, David Guetta",spotify:track:7LpT54RUvN0IvDGIxiwHwS,196453,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,4
113,Märkää,Petri Nygård,spotify:track:6wPsHct4yJfplE3nA9qvac,251160,0.903,0.864,1,-3.763,1,0.0358,0.0212,0.0,0.511,0.961,120.06,4
114,Selvä päivä - feat. Lord Est,Petri Nygård,spotify:track:107ct6t9kseeQWTyeRgcdO,211560,0.801,0.726,6,-5.567,0,0.0443,0.0412,0.0,0.317,0.489,113.98,4
115,Good Ol' Days,The Script,spotify:track:629MXzH7txguTIePdNXOWY,263920,0.549,0.945,7,-4.351,1,0.0329,0.031,0.0,0.114,0.565,93.998,4
116,Home,"Dzeko & Torres, Alex Joseph",spotify:track:12HmJ4Q5ksOGgaqKgZLvdE,174335,0.577,0.886,2,-3.033,1,0.0666,0.00562,0.0,0.111,0.616,127.957,4
117,Supersankari,Laura Närhi,spotify:track:3yXMgnyHN4o5bL68RfWRpC,232760,0.428,0.59,1,-6.187,1,0.0404,0.102,3.39e-06,0.108,0.305,120.38,4
118,Don't Look Down (feat. Usher),"Martin Garrix, Usher",spotify:track:5M9jOReAKGZ2AttVefFjTY,223139,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,4
119,Overtime - Vicetone Remix,"Cash Cash, Vicetone",spotify:track:4qwucEZidHAAkcN0BemkoU,357634,0.721,0.887,11,-3.095,0,0.166,0.00973,0.00054,0.61,0.678,125.987,4
120,Unbreakable,Benjamin,spotify:track:5dajiBFiQxyOkmFglyTkvg,201122,0.498,0.566,1,-7.381,1,0.0304,0.00587,0.0,0.156,0.267,141.872,4
121,Moon Boots,The Script,spotify:track:1MkiqU0AvKhjOZdL6I7NQS,250333,0.482,0.872,2,-4.813,1,0.0469,0.000518,0.0,0.0935,0.532,152.888,4
122,If You Could See Me Now,The Script,spotify:track:6EzSy7WxNCazx3csu7lxdV,219546,0.602,0.758,0,-6.864,1,0.0399,0.00569,0.0,0.145,0.368,100.017,4
123,Everytime - Hi-Bias Radio Remix,"Britney Spears, Nick ""Fierce"" Fiorucci, Taras",spotify:track:4b8ssS2AaEUIzOCDlH0aOT,208813,0.524,0.902,0,-4.655,0,0.0315,0.00994,0.0018,0.094,0.657,128.009,4
124,Gimme More,Britney Spears,spotify:track:6ic8OlLUNEATToEFU3xmaH,251240,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
125,E.T.,"Katy Perry, Kanye West",spotify:track:36ux3YuUsGTWPT8fXclS45,229573,0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684,4
126,We R Who We R,Kesha,spotify:track:5jaz6aiRknA63NIYWdbr2O,204826,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982,4
127,The Man Who Never Lied,Maroon 5,spotify:track:6tWkTeLF2WmjTA1cyS2QEp,205186,0.63,0.842,2,-5.946,1,0.0355,0.000342,0.0,0.0711,0.826,139.943,4
128,Che Guevara,Happoradio,spotify:track:5gsQegOEB7admETkL6ckUL,229760,0.583,0.879,10,-4.171,0,0.0367,0.0745,0.0,0.187,0.46,139.943,4
129,Maps,Maroon 5,spotify:track:7xEMGs0GbdfLwVw0Bn5D9H,190666,0.736,0.725,1,-5.498,0,0.029,0.0194,0.0,0.081,0.883,119.992,4
130,Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",spotify:track:4jOtC832PyIXlCVPRElfQu,185586,0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,4
131,Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",spotify:track:5m5TRf7ggoguXtcXQGprN4,207653,0.656,0.931,7,-4.188,1,0.0981,0.0613,0.0,0.219,0.534,91.881,4
132,Bring Me To Life,Evanescence,spotify:track:646J2jOtUe4Jflrmh6JFjN,235893,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892,4
133,Hung Up,Madonna,spotify:track:70VjMtwhm3Q2HBQeJnPfmh,336880,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992,4
134,It's My Life,Bon Jovi,spotify:track:4TmGtGkkmaoXRCvpOwDJoO,224600,0.546,0.931,0,-3.025,0,0.0507,0.0295,1.67e-05,0.366,0.527,120.01,4
135,I Kissed A Girl,Katy Perry,spotify:track:14iN3o8ptQ8cFVZTEmyQRV,179640,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,4
136,About You Now,Sugababes,spotify:track:1ctdfJSzp6qF2iDAVdDrfl,212400,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,4
137,Birds Fly (feat. Mr. Probz),"Hardwell, Mr. Probz",spotify:track:2xScjew1nGldhk7eM2qsCv,207804,0.566,0.675,3,-4.602,0,0.0331,0.0611,0.0,0.642,0.11,122.553,4
